Hour,2019 kwh
1020,4505251.0
1021,4487717.0
1022,4456617.0
1023,4396586.0
1024,4357128.0
1025,4330707.0
1026,4377329.0
1027,4504300.0
1028,4548989.0
1029,4482425.0
1030,4299829.0
1031,4074392.0
1032,3864903.0
1033,3730897.0
1034,3644911.0
1035,3627080.0
1036,3618754.0
1037,3692452.0
1038,3897371.0
1039,4181050.0
1040,4406789.0
1041,4422353.0
1042,4498879.0
1043,4499852.0
1044,4511425.0
1045,4502269.0
1046,4480868.0
1047,4449001.0
1048,4394019.0
1049,4371970.0
1050,4391435.0
1051,4563874.0
1052,4582323.0
1053,4521214.0
1054,4399719.0
1055,4099569.0
1056,3900335.0
1057,3763611.0
1058,3693382.0
1059,3628512.0
1060,3640662.0
1061,3692818.0
1062,3908700.0
1063,4247052.0
1064,4465997.0
1065,4451294.0
1066,4459703.0
1067,4397015.0
1068,4315024.0
1069,4229926.0
1070,4167777.0
1071,4118255.0
1072,4101115.0
1073,4093690.0
1074,4121787.0
1075,4285812.0
1076,4325798.0
1077,4265681.0
1078,4133137.0
1079,3902147.0
1080,3715523.0
1081,3551742.0
1082,3493634.0
1083,3463688.0
1084,3465693.0
1085,3550300.0
1086,3787552.0
1087,4105137.0
1088,4365415.0
1089,4430399.0
1090,4467272.0
1091,4485545.0
1092,4455195.0
1093,4432200.0
1094,4405720.0
1095,4313994.0
1096,4268608.0
1097,4264114.0
1098,4275922.0
1099,4396746.0
1100,4407256.0
1101,4350524.0
1102,4211890.0
1103,3977994.0
1104,3750638.0
1105,3605660.0
1106,3508262.0
1107,3427855.0
1108,3413422.0
1109,3417559.0
1110,3491201.0
1111,3636498.0
1112,3782927.0
1113,3844952.0
1114,3926300.0
1115,3960816.0
1116,3928298.0
1117,3870187.0
1118,3801836.0
1119,3749807.0
1120,3699732.0
1121,3738589.0
1122,3816867.0
1123,4000777.0
1124,4064480.0
1125,4006385.0
1126,3906585.0
1127,3745615.0
1128,3558022.0
1129,3420110.0
1130,3368793.0
1131,3323965.0
1132,3296497.0
1133,3296186.0
1134,3334559.0
1135,3470403.0
1136,3635343.0
1137,3697772.0
1138,3778559.0
1139,3816008.0
1140,3831089.0
1141,3849248.0
1142,3820152.0
1143,3814540.0
1144,3804851.0
1145,3870942.0
1146,3963644.0
1147,4133542.0
1148,4163435.0
1149,4122684.0
1150,4030419.0
1151,3843324.0
1152,3749318.0
1153,3628373.0
1154,3582373.0
1155,3553966.0
1156,3564172.0
1157,3661173.0
1158,3863612.0
1159,4202274.0
1160,4409564.0
1161,4445222.0
1162,4472101.0
1163,4451668.0
1164,4413337.0
1165,4397001.0
1166,4371900.0
1167,4278099.0
1168,4270087.0
1169,4207989.0
1170,4301538.0
1171,4492116.0
1172,4577411.0
1173,4522344.0
1174,4388401.0
1175,4145800.0
1176,3948865.0
1177,3833874.0
1178,3741284.0
1179,3723606.0
1180,3756259.0
1181,3823555.0
1182,4072915.0
1183,4419673.0
1184,4641054.0
1185,4653150.0
1186,4649389.0
1187,4568701.0
1188,4472727.0
1189,4387119.0
1190,4348152.0
1191,4275369.0
1192,4211024.0
1193,4213173.0
1194,4229270.0
1195,4452972.0
1196,4569984.0
1197,4557356.0
1198,4381300.0
1199,4125596.0
1200,3910528.0
1201,3794174.0
1202,3725445.0
1203,3681820.0
1204,3668415.0
1205,3751356.0
1206,3942508.0
1207,4301818.0
1208,4517640.0
1209,4520353.0
1210,4511434.0
1211,4480099.0
1212,4458434.0
1213,4418642.0
1214,4419420.0
1215,4370400.0
1216,4349562.0
1217,4332842.0
1218,4388482.0
1219,4478506.0
1220,4459357.0
1221,4366431.0
1222,4206985.0
1223,4006593.0
1224,3779424.0
1225,3638593.0
1226,3574299.0
1227,3528933.0
1228,3507516.0
1229,3599357.0
1230,3796441.0
1231,4171973.0
1232,4394508.0
1233,4347246.0
1234,4340285.0
1235,4324807.0
1236,4304089.0
1237,4228989.0
1238,4186737.0
1239,4129469.0
1240,4106370.0
1241,4092188.0
1242,4172656.0
1243,4387844.0
1244,4450340.0
1245,4413813.0
1246,4260068.0
1247,3997457.0
1248,3805398.0
1249,3666899.0
1250,3596374.0
1251,3558239.0
1252,3551663.0
1253,3627560.0
1254,3866368.0
1255,4226760.0
1256,4405889.0
1257,4398617.0
1258,4370060.0
1259,4307702.0
1260,4240360.0
1261,4169808.0
1262,4104113.0
1263,4027881.0
1264,3939703.0
1265,3929880.0
1266,3916818.0
1267,4089111.0
1268,4187002.0
1269,4136283.0
1270,4028993.0
1271,3800765.0
1272,3604591.0
1273,3431335.0
1274,3331792.0
1275,3279733.0
1276,3265363.0
1277,3290878.0
1278,3367073.0
1279,3494106.0
1280,3642714.0
1281,3716228.0
1282,3755569.0
1283,3775847.0
1284,3757954.0
1285,3695584.0
1286,3686105.0
1287,3661419.0
1288,3644115.0
1289,3728612.0
1290,3822766.0
1291,3940694.0
1292,3923766.0
1293,3852177.0
1294,3742293.0
1295,3542108.0
1296,3367079.0
1297,3206112.0
1298,3107372.0
1299,3050783.0
1300,3018396.0
1301,3022542.0
1302,3056513.0
1303,3175964.0
1304,3322969.0
1305,3435302.0
1306,3548733.0
1307,3627868.0
1308,3718553.0
1309,3741264.0
1310,3781868.0
1311,3781242.0
1312,3802355.0
1313,3853676.0
1314,3924542.0
1315,4097841.0
1316,4127098.0
1317,4053539.0
1318,3960228.0
1319,3787192.0
1320,3725285.0
1321,3595554.0
1322,3547316.0
1323,3545776.0
1324,3570584.0
1325,3655019.0
1326,3900521.0
1327,4233078.0
1328,4463266.0
1329,4504764.0
1330,4545810.0
1331,4600617.0
1332,4579143.0
1333,4565620.0
1334,4515975.0
1335,4447067.0
1336,4410344.0
1337,4385794.0
1338,4405702.0
1339,4595893.0
1340,4683816.0
1341,4623732.0
1342,4486849.0
1343,4214539.0
1344,4019126.0
1345,3857578.0
1346,3764761.0
1347,3736760.0
1348,3729696.0
1349,3823710.0
1350,4057573.0
1351,4410518.0
1352,4569920.0
1353,4602636.0
1354,4602199.0
1355,4619773.0
1356,4547282.0
1357,4492040.0
1358,4445190.0
1359,4443823.0
1360,4431628.0
1361,4427014.0
1362,4460315.0
