Hour,DTE 2019 kWh
1410,5756742.359999999
1411,5962912.22
1412,6076275.100000001
1413,5932029.3
1414,5719031.12
1415,5410977.34
1416,5130401.9399999995
1417,4942405.0
1418,4836913.23
1419,4817228.8
1420,4822269.99
1421,4926966.51
1422,5151578.16
1423,5586803.91
1424,5815418.67
1425,5881920.7700000005
1426,5865404.15
1427,5837121.47
1428,5771936.39
1429,5706185.77
1430,5665301.34
1431,5574414.890000001
1432,5480790.82
1433,5416583.37
1434,5447751.7
1435,5661590.5
1436,5703106.0
1437,5634493.53
1438,5458825.13
1439,5187023.67
1440,4905941.87
1441,4687654.48
1442,4597828.4399999995
1443,4516230.17
1444,4483114.6
1445,4512518.82
1446,4609702.2700000005
1447,4768847.21
1448,4855222.35
1449,5027618.42
1450,5150338.94
1451,5160089.13
1452,5128990.8
1453,5090419.22
1454,5137715.8
1455,5130565.92
1456,5091947.1
1457,5095246.19
1458,5150495.91
1459,5307483.38
1460,5369952.3100000005
1461,5299081.26
1462,5164067.06
1463,4978229.13
1464,4746671.090000001
1465,4550694.260000001
1466,4463547.96
1467,4420724.899999999
1468,4373575.78
1469,4401294.84
1470,4466558.85
1471,4554533.34
1472,4618956.56
1473,4730017.41
1474,4829628.99
1475,4899126.07
1476,4926630.01
1477,4980868.33
1478,4966923.53
1479,4976924.18
1480,5006961.0600000005
1481,5080100.72
1482,5132847.7
1483,5323556.2
1484,5436143.600000001
1485,5433663.02
1486,5356563.85
1487,5187966.46
1488,5037438.63
1489,4872136.61
1490,4809525.93
1491,4788622.47
1492,4780081.16
1493,4913554.71
1494,5216257.76
1495,5648634.77
1496,5870059.43
1497,5960815.67
1498,6009922.29
1499,6132936.13
1500,6182753.3100000005
1501,6158836.18
1502,6201965.16
1503,6138814.3
1504,6063248.89
1505,6087364.7700000005
1506,6130096.4
1507,6332437.55
1508,6441720.04
1509,6329779.88
1510,6077967.359999999
1511,5762965.86
1512,5500188.15
1513,5280677.04
1514,5197098.3
1515,5139535.9799999995
1516,5117586.64
1517,5224906.95
1518,5492004.9
1519,5931346.43
1520,6164786.350000001
1521,6288734.07
1522,6355429.2299999995
1523,6384072.51
1524,6300183.88
1525,6226811.96
1526,6196686.54
1527,6149244.38
1528,6069554.41
1529,6061549.25
1530,6106841.86
1531,6255148.96
1532,6370615.88
1533,6290564.39
1534,6073754.88
1535,5745221.71
1536,5508156.36
1537,5290238.06
1538,5198878.69
1539,5106685.16
1540,5089681.34
1541,5175501.31
1542,5424121.14
1543,5883424.17
1544,6080740.06
1545,6140253.64
1546,6196328.66
1547,6226814.76
1548,6224565.640000001
1549,6207974.850000001
1550,6173843.13
1551,6152232.09
1552,6092780.12
1553,6047145.25
1554,6049226.7700000005
1555,6128240.67
1556,6278528.57
1557,6161968.96
1558,5947655.62
1559,5583792.71
1560,5274641.67
1561,5082244.25
1562,4974371.63
1563,4940215.3100000005
1564,4926138.75
1565,5045888.94
1566,5290169.62
1567,5709026.38
1568,5903742.53
1569,5968827.12
1570,6014753.94
1571,6024218.52
1572,5993671.46
1573,5939407.04
1574,5880191.0
1575,5805569.1899999995
1576,5749917.75
1577,5768802.859999999
1578,5824250.61
1579,5977470.47
1580,6077111.76
1581,6006447.5600000005
1582,5815196.98
1583,5507267.12
1584,5242541.72
1585,5033367.9
1586,5004977.899999999
1587,4953884.99
1588,4973613.0200000005
1589,5030934.050000001
1590,5218133.8
1591,5636627.32
1592,5863690.54
1593,5933256.64
1594,5920550.41
1595,5906484.67
1596,5819568.26
1597,5769690.96
1598,5680442.0
1599,5553726.449999999
1600,5466066.72
1601,5402987.92
1602,5390940.83
1603,5512336.22
