Timestamp,Hour,DTE Res kWh,DTE Com kWh,Ann Arbor Res kWh,Ann Arbor Com kWh
2019-08-11 02:00:00,5331.0,1420169.48,2100370.54,107928.89140912124,82627.57871914488
2019-08-11 03:00:00,5332.0,1308987.58,2090451.41,99479.37930458019,82237.36485959396
2019-08-11 04:00:00,5333.0,1241758.86,2095031.91,94370.18542128803,82417.55955244233
2019-08-11 05:00:00,5334.0,1212719.99,2116036.6,92163.31286768717,83243.87407332979
2019-08-11 06:00:00,5335.0,1213210.8299999998,2129556.46,92200.6153289816,83775.73893962229
2019-08-11 07:00:00,5336.0,1276506.87,2122053.87,97010.93657865908,83480.59061506882
2019-08-11 08:00:00,5337.0,1456819.89,2215679.88,110714.21962289876,87163.79334720886
2019-08-11 09:00:00,5338.0,1689506.0199999998,2267804.1,128397.71191790194,89214.33538691202
2019-08-11 10:00:00,5339.0,1969790.39,2328015.4,149698.53675565578,91583.01930995545
2019-08-11 11:00:00,5340.0,2262526.58,2370081.1100000003,171945.66493787098,93237.86434715624
2019-08-11 12:00:00,5341.0,2542703.64,2387042.86,193238.33451704463,93905.13153008836
2019-08-11 13:00:00,5342.0,2818341.15,2387417.11,214186.01104722224,93919.85434720408
2019-08-11 14:00:00,5343.0,3047061.64,2385193.27,231568.12584119107,93832.36953861464
2019-08-11 15:00:00,5344.0,3274247.97,2384665.57,248833.64878441527,93811.61007143505
2019-08-11 16:00:00,5345.0,3413698.8200000003,2379375.93,259431.52168516206,93603.51814804714
2019-08-11 17:00:00,5346.0,3617301.49,2385408.54,274904.75271181186,93840.83815809494
2019-08-11 18:00:00,5347.0,3692445.11,2354675.23,280615.456763182,92631.8043505055
2019-08-11 19:00:00,5348.0,3596899.3800000004,2326965.46,273354.2496586784,91541.7151694011
2019-08-11 20:00:00,5349.0,3410415.37,2310735.75,259181.98870794493,90903.24609212395
2019-08-11 21:00:00,5350.0,3304208.5,2373425.49,251110.56490919334,93369.43066674322
2019-08-11 22:00:00,5351.0,3019429.96,2274114.47,229468.195774977,89462.58234333807
2019-08-11 23:00:00,5352.0,2623303.89,2262876.41,199363.72712145266,89020.4824044861
2019-08-12 00:00:00,5353.0,2245094.25,2273562.96,170620.85682301276,89440.88620207558
2019-08-12 01:00:00,5354.0,1953093.29,2286189.33,148429.60405563237,89937.60159645168
2019-08-12 02:00:00,5355.0,1758416.56,2293540.81,133634.71939718103,90226.80532542906
2019-08-12 03:00:00,5356.0,1625420.4,2316162.5300000003,123527.38480605173,91116.73303792805
2019-08-12 04:00:00,5357.0,1563634.44,2399856.61,118831.82539475647,94409.21836460111
2019-08-12 05:00:00,5358.0,1568862.71,2547935.56,119229.15922922781,100234.57387438338
2019-08-12 06:00:00,5359.0,1619003.99,2707355.28,123039.75566891073,106506.06988559861
2019-08-12 07:00:00,5360.0,1668826.93,2760941.01,126826.1591627692,108614.10703403331
2019-08-12 08:00:00,5361.0,1780929.88,2863856.23,135345.6684802009,112662.74287233075
2019-08-12 09:00:00,5362.0,2022838.92,2948686.89,153730.07602925255,115999.94071597743
2019-08-12 10:00:00,5363.0,2408194.99,2989909.38,183016.05493430252,117621.61387916803
2019-08-12 11:00:00,5364.0,2845674.0,2960169.47,216263.2308728108,116451.65995540691
2019-08-12 12:00:00,5365.0,3224055.71,2994167.12,245019.1780079285,117789.11134702705
2019-08-12 13:00:00,5366.0,3463660.6300000004,2982520.54,263228.4789089528,117330.9404255482
2019-08-12 14:00:00,5367.0,3721336.47,3001967.64,282811.1189711192,118095.98009617178
2019-08-12 15:00:00,5368.0,3998333.750000001,2946822.29,303862.1342018803,115926.5882382381
2019-08-12 16:00:00,5369.0,4312030.930000001,2915795.77,327702.2387474079,114706.01968861393
2019-08-12 17:00:00,5370.0,4497165.69,2848115.24,341771.9604880087,112043.49980756073
2019-08-12 18:00:00,5371.0,4460151.05,2786139.8600000003,338958.95181730564,109605.41781579993
2019-08-12 19:00:00,5372.0,4291568.329999999,2837991.95,326147.13862418284,111645.25439064884
2019-08-12 20:00:00,5373.0,4102932.49,2776613.49,311811.3446376593,109230.65494796676
2019-08-12 21:00:00,5374.0,3866408.27,2704588.14,293836.1682833505,106397.21191324443
2019-08-12 22:00:00,5375.0,3470101.64,2579706.67,263717.9775769956,101484.4342406974
2019-08-12 23:00:00,5376.0,3007380.94,2730026.08,228552.50409910298,107397.92838196945
2019-08-13 00:00:00,5377.0,2586187.82,2709403.84,196543.01005565334,106586.65926230016
2019-08-13 01:00:00,5378.0,2265353.43,2483287.94,172160.49759761797,97691.36723116157
2019-08-13 02:00:00,5379.0,2043451.76,2445473.41,155296.59397047292,96203.76159453782
2019-08-13 03:00:00,5380.0,1886588.48,2466670.28,143375.42529897142,97037.63638528044
2019-08-13 04:00:00,5381.0,1793752.34,2544193.3,136320.13942358282,100087.35514471222
2019-08-13 05:00:00,5382.0,1779564.22,2658695.3000000003,135241.88215616177,104591.80940091197
2019-08-13 06:00:00,5383.0,1822467.77,2857675.11,138502.43144568446,112419.58054947104
2019-08-13 07:00:00,5384.0,1849528.87,2885210.48,140558.99903458334,113502.80891746929
2019-08-13 08:00:00,5385.0,1894687.16,2944906.27,143990.90223083537,115851.21292213912
2019-08-13 09:00:00,5386.0,1926506.9,2941269.21,146409.113093335,115708.13271046549
2019-08-13 10:00:00,5387.0,2039721.67,2992131.59,155013.1176078093,117709.03456433222
2019-08-13 11:00:00,5388.0,2266092.03,2901236.04,172216.62912298684,114133.24683078071
2019-08-13 12:00:00,5389.0,2599474.74,2860556.04,197552.7786544277,112532.91496633987
2019-08-13 13:00:00,5390.0,2971279.74,2969549.53,225808.91430266618,116820.66705738248
2019-08-13 14:00:00,5391.0,3350387.8200000003,2957151.58,254620.0635175053,116332.93759723638
2019-08-13 15:00:00,5392.0,3746564.64,2932186.96,284728.38902847946,115350.8413123382
2019-08-13 16:00:00,5393.0,4112727.63,2871100.41,312555.74776438833,112947.72547030875
2019-08-13 17:00:00,5394.0,4274042.21,2809408.27,324815.2027327686,110520.7860055215
2019-08-13 18:00:00,5395.0,4223491.73,2671215.0500000003,320973.50824247516,105084.33041516549
2019-08-13 19:00:00,5396.0,3993676.0,2742332.89,303508.1582848926,107882.07243783523
2019-08-13 20:00:00,5397.0,3664607.48,2737868.97,278499.87507545465,107706.46394677537
2019-08-13 21:00:00,5398.0,3457913.18,2645625.21,262791.6888527904,104077.63827263983
2019-08-13 22:00:00,5399.0,3063843.14,2621007.95,232843.47270414588,103109.20696503845
2019-08-13 23:00:00,5400.0,2581848.8300000005,2540991.37,196213.2590033105,99961.3927404175
2019-08-14 00:00:00,5401.0,2166461.46,2402331.28,164644.98565226613,94506.57070616886
2019-08-14 01:00:00,5402.0,1858190.96,2355730.44,141217.29354390205,92673.31581035496
2019-08-14 02:00:00,5403.0,1654879.98,2362540.99,125766.23013793306,92941.2396102411
2019-08-14 03:00:00,5404.0,1520172.71,2395204.39,115528.85599308861,94226.2022410419
2019-08-14 04:00:00,5405.0,1438963.34,2454687.88,109357.17197961923,96566.25446461978
2019-08-14 05:00:00,5406.0,1433294.14,2577905.92,108926.32870366274,101413.5935916096
2019-08-14 06:00:00,5407.0,1471101.3199999998,2694959.82,111799.56818822419,106018.43838086897
2019-08-14 07:00:00,5408.0,1497135.89,2777055.4200000004,113778.12238051198,109248.04026411357
2019-08-14 08:00:00,5409.0,1578674.99,2850016.72,119974.86494781282,112118.30312697068
2019-08-14 09:00:00,5410.0,1713345.58,2942137.44,130209.4515156866,115742.2884659882
2019-08-14 10:00:00,5411.0,1864263.12,2979587.3600000003,141678.76064799645,117215.55051851427
2019-08-14 11:00:00,5412.0,2154925.38,2895263.32,163768.27597561054,113898.28286486666
2019-08-14 12:00:00,5413.0,2470895.56,2849899.86,187781.12213657753,112113.70591011526
2019-08-14 13:00:00,5414.0,2771131.56,2891918.76,210598.21481280442,113766.70946416522
2019-08-14 14:00:00,5415.0,3075831.41,2921281.39,233754.54755065872,114921.82137205085
2019-08-14 15:00:00,5416.0,3294243.81,2865526.13,250353.27645870816,112728.43594461269
2019-08-14 16:00:00,5417.0,3505898.99,2789636.96,266438.4756269075,109742.99206759775
2019-08-14 17:00:00,5418.0,3660344.51,2750013.93,278175.9013295815,108184.24090056986
2019-08-14 18:00:00,5419.0,3548235.5900000003,2675434.52,269655.9383089188,105250.32235941454
